Encounter Code,Number of Players,Monster1,Monster2,Monster3,Monster4,Monster5,Monster6,Monster7,Monster8
LA,5,Goblin,Goblin,Goblin,Goblin,,,,
LB,5,Goblin,Goblin,,,,,,
LC ,5,Wolf,Wolf,Wolf,,,,,
LD,5,Goblin,Goblin,Goblin,Goblin,Goblin,Goblin Leader,,
R5E01,5,Tribal Warrior,Tribal Warrior,Giant Rat (Diseased),,,,,
R5E02,5,Giant Lizard,Kobold,,,,,,
R5E03  ,5,Stirge,Guard',,,,,,
R5E04  ,5,Mule,Tribal Warrior,,,,,,
R5E05  ,5,Giant Frog,Camel,,,,,,
R5E06 ,5,Giant Crab,Draft Horse,,,,,,
R5E07 ,5,Mule,Giant Frog,,,,,,
R5E08 ,5,Boar, Poisonous Snake,,,,,,
R5E09 ,5,Tribal Warrior,Wolf,,,,,,
R5E10,5,Flying Sword,Bandit,,,,,,
R5M01 ,5,Cockatrice,,,,,,,
R5M02 ,5,Warhorse Skeleton,Giant Bat,,,,,,
R5M03  ,5,Constrictor Snake, Rust Monster,,,,,,
R5M04 ,5,Dust Mephit, Axe Beak,,,,,,
R5M05 ,5,Stirge,Swarm of Bats,Swarm of Bats,,,,,
R5M06 ,5,Tribal Warrior,Giant Sea Horse,,,,,,
R5M07 ,5,Swarm of Beetles,,,,,,,
R5M08,5,Poisonous Snake,Crocodile,,,,,,
R5M09 ,5,Violet Fungus,Swarm of Ravens,Kobold,,,,,
R5M10 ,5,Swarm of Insects,Flying Sword,,,,,,
R5H01 ,5,Boar,Swarm of Ravens',Noble,Bandit,Blink Dog,,,
R5H02 [,5,Orc," 'Constrictor Snake',",Axe Beak,,,,,
R5H03 ,5,Giant Crab,Blood Hawk,Magmin, Giant Rat,,,,
R5H04 ,5, Pseudodragon, Lion,,,,,,
R5H05,5, Dryad,,,,,,,
R5H06 ,5,Draft Horse,Thug, Blink Dog,,,,,
R5H07 ,5,Ape,Swarm of Beetles,,,,,,
R5H08  ,5,Brown Bear,,,,,,,
R5H09  ,5,Warhorse Skeleton,,,,,,,
R5H10 ,5,Swarm of Bats,Bugbear,,,,,,
R5D01 ,5,Imp,Swarm of Wasps,,,,,,
R5D02 ,5,Drow,Flying Sword,Steam Mephit,Giant Centipede',Mule,Blood Hawk,,
R5D03 ,5,Giant Rat (Diseased),Giant Frog,Gray Ooze,Wolf,,,,
R5D04  ,5,Dust Mephit, Skeleton,Zombie,Giant Frog,,,,
R5D05 ,5,Mule,"Swarm of Beetles', '",Giant Rat,Axe Beak,Skeleton,,,
R5D06  ,5,Kobold,Camel, Giant Badger,"Giant Rat (Diseased)', ",Magmin,,,
R5D07 ,5,Worg,Wolf,Giant Frog,Giant Rat (Diseased),Giant Rat,,,
R5D08 ,5,Acolyte,Giant Wolf Spider,Ice Mephit,Giant Rat (Diseased),,,,
R5D09 ,5,Swarm of Wasps ,Dretch,Mastiff, 'Kobold,Acolyte,,,
R5D10 ,5,Giant Weasel, Grimlock, Ape,Blood Hawk,Riding Horse,,,